file_path,file_name,line_number,module_hint,variable_name,variable_style,likely_role,section_hint,context
# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,179,assets,total_cost_burden,snake_case,status_or_readiness_field,status_readiness_trust,```txt total_cost_burden total_people_cost_annual total_asset_cost_annual
# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,180,assets,total_people_cost_annual,snake_case,status_or_readiness_field,status_readiness_trust,```txt total_cost_burden total_people_cost_annual total_asset_cost_annual total_business_overheads
# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,181,assets,total_asset_cost_annual,snake_case,status_or_readiness_field,status_readiness_trust,total_cost_burden total_people_cost_annual total_asset_cost_annual total_business_overheads macro operating context from Cost Summary
# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,203,assets,selected_recovery_driver,snake_case,status_or_readiness_field,status_readiness_trust,asset_allocated_cost overhead_allocated_cost selected_recovery_driver selected_recovery_quantity group_required_recovery_rate
# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,# QS Tools — Future Build Brief Micro Recovery Layer Rollout.txt,289,assets,overhead_absorption_status,snake_case,status_field,status_readiness_trust,asset_recovery_status material_recovery_status overhead_absorption_status recovery_share_warnings ```
00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,782,assets,asset_id,snake_case,brief_variable,ownership,Owned by Assets: asset_id asset_name asset_type
00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,783,assets,asset_name,snake_case,brief_variable,ownership,asset_id asset_name asset_type asset_group_id where applicable
00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,784,assets,asset_type,snake_case,brief_variable,ownership,asset_id asset_name asset_type asset_group_id where applicable
00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,00_MIRRA_SYSTEM_PRINCIPLES_v4.0_LOCKED.txt,785,assets,asset_group_id,snake_case,brief_variable,ownership,asset_name asset_type asset_group_id where applicable Downstream modules may consume these.
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,223,assets,cost_summary_ready,snake_case,readiness_field,status_readiness_trust,assets_ready general_overheads_ready cost_summary_ready business_summary_ready cost_allocation_ready
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,545,assets,operating_expense_benchmark_total,snake_case,brief_variable,ownership,asset_finance_benchmark_total general_overheads_benchmark_total operating_expense_benchmark_total cost_of_sales_benchmark_total
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1130,assets,asset_rows,snake_case,brief_variable,ownership,## 13.2 Asset identity variables asset_rows[] Each row:
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1135,assets,asset_id,snake_case,brief_variable,ownership,"{ asset_id, asset_name, asset_type,"
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1136,assets,asset_name,snake_case,brief_variable,ownership,"{ asset_id, asset_name, asset_type, asset_group_id,"
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1137,assets,asset_type,snake_case,brief_variable,ownership,"asset_id, asset_name, asset_type, asset_group_id, asset_group_name,"
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1138,assets,asset_group_id,snake_case,brief_variable,ownership,"asset_name, asset_type, asset_group_id, asset_group_name, is_active,"
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1139,assets,asset_group_name,snake_case,brief_variable,ownership,"asset_type, asset_group_id, asset_group_name, is_active, is_productive_asset,"
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1140,assets,is_active,snake_case,readiness_field,ownership,"asset_group_id, asset_group_name, is_active, is_productive_asset, ownership_status,"
03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,03_MIRRA_VARIABLE_CONTRACT_BRIEF_v4.0_LOCKED.txt,1141,assets,is_productive_asset,snake_case,readiness_field,ownership,"asset_group_name, is_active, is_productive_asset, ownership_status, asset_status"
